Player_ID,MP,Starts,Min,Min/90,Goals,Shots,SoT,SoT%
1906,19,12,1023,11.4,2,1.14,0.35,30.8
1907,2,0,49,0.5,0,0,0,0
1908,1,0,5,0.1,0,0,0,0
1909,11,9,805,8.9,0,0.11,0,0
1910,22,22,1980,22,0,0,0,0
1911,13,11,988,11,0,0.73,0.09,12.5
1912,4,1,82,0.9,1,2.22,1.11,50
1913,12,9,740,8.2,1,1.34,0.12,9.1
1914,17,15,1377,15.3,1,1.05,0.39,37.5
1915,20,20,1738,19.3,0,0,0,0
1916,18,8,700,7.8,2,2.69,0.51,19
1917,7,3,286,3.2,0,0.63,0.31,50
1918,5,3,267,3,0,0.33,0,0
1919,16,11,1031,11.5,0,0.17,0,0
1920,12,10,836,9.3,0,1.61,0.65,40
1921,20,17,1539,17.1,5,0.94,0.47,50
1922,20,9,1119,12.4,3,1.85,0.56,30.4
1923,18,13,984,10.9,4,2.11,0.55,26.1
1924,2,2,180,2,0,0,0,0
1925,3,1,88,1,0,0,0,0
1926,11,4,369,4.1,1,1.46,0.73,50
1927,19,19,1610,17.9,2,2.01,0.56,27.8
1928,9,7,557,6.2,0,2.26,0.32,14.3
1929,1,0,32,0.4,0,0,0,0
1930,1,1,65,0.7,0,2.86,0,0
1931,11,7,653,7.3,0,1.51,0.27,18.2
1932,7,7,630,7,0,0,0,0
1933,15,14,1225,13.6,6,2.87,1.1,38.5
1934,4,1,95,1.1,0,0.91,0,0
1935,10,7,570,6.3,0,0.63,0,0
1936,1,1,45,0.5,0,0,0,0
1937,12,1,256,2.8,0,0,0,0
1938,23,23,1904,21.2,2,1.42,0.52,36.7
1939,2,2,180,2,0,0,0,0
1940,18,14,1184,13.2,1,0.98,0.15,15.4
1941,18,14,1079,12,1,1.5,0.58,38.9
1942,1,0,3,0,0,0,0,0
1943,18,18,1549,17.2,2,1.45,0.52,36
1944,8,3,382,4.2,0,1.9,0.48,25
1945,2,0,41,0.5,0,2,0,0
1946,19,9,858,9.5,0,2.21,0.53,23.8
1947,4,0,41,0.5,0,2,0,0
1948,19,15,1343,14.9,0,1.68,0.47,28
1949,14,5,628,7,3,2.43,0.86,35.3
1950,9,7,613,6.8,0,0.15,0,0
1951,19,19,1573,17.5,1,0.69,0.34,50
1952,7,6,588,6.5,0,0,0,0
1953,23,16,1420,15.8,0,0.95,0.19,20
1954,20,14,1179,13.1,2,1.76,0.31,17.4
1955,21,8,776,8.6,2,1.63,0.93,57.1
1956,13,9,913,10.1,0,0.1,0.1,100
1957,19,18,1534,17,3,0.94,0.24,25
1958,16,10,860,9.6,2,1.77,0.63,35.3
1959,16,0,193,2.1,0,1.9,0,0
1960,7,0,146,1.6,0,1.25,0,0
1961,18,16,1431,15.9,0,0.44,0,0
1962,10,7,647,7.2,0,0.28,0,0
1963,14,6,647,7.2,0,1.67,0.14,8.3
1964,3,1,116,1.3,0,0.77,0.77,100
1965,1,0,20,0.2,0,0,0,0
1966,3,0,21,0.2,0,5,0,0
1967,2,1,66,0.7,0,1.43,0,0
1968,17,13,1149,12.8,3,2.42,0.94,38.7
1969,7,2,192,2.1,0,1.9,0.95,50
1970,2,0,60,0.7,0,2.86,1.43,50
1971,19,17,1395,15.5,1,1.1,0.39,35.3
1972,20,20,1800,20,0,0,0,0
1973,19,17,1467,16.3,1,0.55,0.12,22.2
1974,1,1,44,0.5,0,2,0,0
1975,14,7,653,7.3,0,0.41,0.27,66.7
1976,17,16,1305,14.5,3,2.69,0.76,28.2
1977,14,14,1260,14,0,0.5,0.21,42.9
1978,19,14,1115,12.4,2,1.69,0.73,42.9
1979,6,4,384,4.3,0,0.7,0,0
1980,9,6,590,6.6,0,0.3,0,0
1981,10,5,407,4.5,0,2.89,0.44,15.4
1982,20,13,1278,14.2,1,1.27,0.49,38.9
1983,16,9,919,10.2,0,1.76,0.88,50
1984,16,15,1221,13.6,0,0.29,0.07,25
1985,15,12,1041,11.6,2,1.38,0.6,43.8
1986,13,6,574,6.4,1,1.56,0.47,30
1987,21,16,1312,14.6,5,2.26,0.89,39.4
1988,1,0,4,0,0,0,0,0
1989,19,10,827,9.2,3,2.17,0.33,15
1990,14,4,465,5.2,1,1.15,0.77,66.7
1991,19,5,680,7.6,3,2.11,0.92,43.8
1992,19,14,1137,12.6,0,0.56,0.08,14.3
1993,9,9,790,8.8,0,0.11,0,0
1994,22,22,1980,22,0,0,0,0
1995,7,3,247,2.7,0,1.11,0,0
1996,15,14,1231,13.7,2,1.24,0.51,41.2
1997,1,1,74,0.8,0,0,0,0
1998,15,2,364,4,2,0.75,0.5,66.7
1999,17,6,706,7.8,0,1.15,0.38,33.3
2000,14,14,1228,13.6,4,0.88,0.51,58.3
2001,1,1,18,0.2,0,0,0,0
2002,11,1,178,2,1,2,1.5,75
2003,6,1,75,0.8,0,1.25,0,0
2004,17,11,1026,11.4,0,0.35,0.18,50
2005,12,4,377,4.2,1,0.48,0.24,50
2006,14,1,176,2,1,3,2,66.7
2007,20,16,1367,15.2,1,1.51,0.39,26.1
2008,1,0,33,0.4,0,0,0,0
2009,13,13,1071,11.9,1,1.85,0.42,22.7
2010,22,21,1973,21.9,0,0,0,0
2011,19,12,1152,12.8,3,2.19,0.63,28.6
2012,1,0,9,0.1,0,0,0,0
2013,1,1,58,0.6,0,0,0,0
2014,11,1,277,3.1,0,1.94,0.32,16.7
2015,16,6,609,6.8,1,2.21,0.59,26.7
2016,5,1,152,1.7,0,1.18,1.18,100
2017,3,0,37,0.4,0,5,0,0
2018,15,2,360,4,0,4.5,1.25,27.8
2019,13,4,493,5.5,0,1.64,0.18,11.1
2020,1,0,1,0,0,0,0,0
2021,1,0,82,0.9,0,0,0,0
2022,10,2,275,3.1,0,1.94,0,0
2023,17,16,1398,15.5,3,1.42,0.77,54.5
2024,19,10,916,10.2,2,3.43,1.18,34.3
2025,10,7,671,7.5,0,0.93,0,0
2026,9,9,810,9,0,0,0,0
2027,3,3,270,3,0,0,0,0
2028,20,20,1800,20,1,0.3,0.15,50
2029,21,21,1890,21,0,0,0,0
2030,17,11,945,10.5,1,1.62,0.57,35.3
2031,1,1,90,1,0,0,0,0
2032,19,12,1039,11.5,2,2.52,1.22,48.3
2033,7,5,539,6,0,0.67,0.33,50
2034,1,0,21,0.2,0,0,0,0
2035,20,18,1534,17,0,0.59,0.24,40
2036,21,21,1890,21,0,0,0,0
