Player_ID,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen
203,38.6,0.43,3.99,14.4,20.7,4.41
204,37,2,9.58,18.5,9.5,2.25
205,50,1.9,14.3,19.5,17.1,2.38
206,55,0,5.53,30.3,20,0.53
207,74.3,1.67,13.7,44,17.3,0.67
208,46.7,0.24,5.18,20.1,22,1.41
209,50,7.14,27.3,20.7,2.27,0.86
210,63.9,1.95,13.2,32.4,18.8,1.95
211,55.4,0,8.46,27.7,21.5,2.31
212,77.7,7.38,32.6,34.3,11.2,1.42
213,56.3,2.29,13.9,22.7,20.3,1.9
214,39.9,3.84,15.2,21.4,3.42,0.82
215,47.2,6.64,27.2,18.2,1.98,0.95
216,45.8,36,45.3,0.45,0,0
217,63.4,3.14,26.3,33.4,4,1.43
218,53.2,3.87,16.8,29,7.74,0.65
219,48.8,1.4,7.53,24.3,17.9,4.21
220,43.3,0.71,6.1,18.9,19.1,2.13
221,98.3,10,46.7,35,16.7,5
222,40,0,10,20,20,0
223,39.1,27,38.3,0.82,0,0
224,74.3,0,1.43,27.1,51.4,0
225,36.2,0.88,2.94,20.3,13.8,3.82
226,61.2,4.69,28.5,25.6,7.41,1.63
227,70,5,20,40,10,0
228,80,0,20,50,10,0
229,29.1,0.12,1.6,8.83,19.1,3.46
230,56.1,6.84,27.4,25.8,3.16,1.84
231,71.8,8.18,35.5,36.4,0.91,0
232,37.9,0.53,1.58,12.1,24.2,5.79
233,33,31,33,0,0,0
234,41.4,0,10,15.7,15.7,2.86
235,41.4,1.67,3.33,20,18.5,4.64
236,68.4,2.9,16.5,41.6,11.3,0.32
237,43.4,2.11,10,16.1,18.2,1.41
238,49.4,0.34,4.71,23,22.4,5.06
239,53,0.5,5.5,21,27.5,3.25
240,53.7,2.11,12,34.4,8.01,0.54
241,60.4,6.38,30.9,27.2,2.83,0.71
242,54,8.25,28.3,23.5,2.63,1.58
243,79.4,4.44,21.7,29.4,28.3,2.22
244,66.7,1.11,10,25.6,32.2,3.33
245,62.8,1.36,9.83,32.4,21.7,1.3
246,66.9,0.63,10.6,31.3,25.6,3.13
247,71.2,1.6,12,39,21.3,3.51
248,60,0,20,40,0,0
249,34.4,0.67,3.33,12.9,18.4,4.44
250,68.5,1.9,15,42.3,11.6,0.45
251,47.3,0,3.27,22.1,22.3,4.04
252,4,0,0,2,2,0
253,35.8,0,1.27,14.8,20,6.35
254,112,1,25,64,24,3
255,40.5,1.43,8.57,19,12.9,1.9
256,74.6,1.4,14.4,47.8,13.7,0.38
257,47.4,0.75,5.71,16.9,25.6,3.16
258,66.1,5.31,23.1,30.5,13,2.12
259,79.1,2.49,19.8,49.1,11.6,0.24
260,64,3.11,17.6,36.5,10.5,1.14
261,57.3,0.26,2.76,20.6,34.3,7.5
262,56.1,0.69,5.69,21.6,29.7,4.31
263,68.7,4,17.8,30.8,21,1.05
264,48.8,0.79,5.13,14.7,29.5,4.61
265,57.1,3.61,19.2,23.8,14.9,0.98
266,76.7,0,16.7,50,10,0
267,38.4,0.86,6.29,14,19.9,3.71
268,33.1,1.42,2.99,10.8,20,4.8
269,67.6,4.57,21.7,34.6,11.7,0.29
270,28.1,23.8,27.9,0.14,0,0
271,64.5,2.45,16.5,31.2,17.2,3.18
272,63.7,3.16,22.6,25.8,15.3,1.05
273,66.7,0,3.33,43.3,20,0
274,28.5,1.34,1.64,11.5,15.7,6.04
275,30,0,30,0,0,0
276,49.5,8.84,29.4,18.2,2.03,0.72
277,53.3,0,8.33,35,10,0.83
278,125,10,95,25,5,0
279,65.7,5.71,32.9,27.1,5.71,1.43
280,57,6.9,29.6,25.5,2.68,0.42
281,53.6,9.22,31,21.1,1.56,1.1
282,30.6,1.92,3.27,15.1,12.8,4.33
283,29,1,3,13,13,3
284,43.1,2.31,10.6,19.5,13.7,2.25
285,116.7,13.3,33.3,80,3.33,0
286,79.4,2.61,18.8,31.7,29.5,0.94
287,62.7,2.86,15.3,25.2,23.1,2.35
288,46,1.67,5.33,21,20.3,4
289,46.5,0,5,21.9,21.2,2.31
290,71,1.89,14.1,45.7,11.3,0.11
291,33.1,0.98,5.69,16.7,10.8,0.59
292,53.1,0.63,7.4,29.6,16.8,2.4
293,31,27.5,31,0,0,0
294,45.6,2.22,11.1,25.6,8.89,0
295,49.2,1.54,14.2,15.8,20.4,0.38
296,40,33,40,0,0,0
297,51.6,0.38,5.68,25.8,21.6,2.76
298,40.8,29.8,40.2,0.69,0,0
299,61.7,8.18,32.4,28.8,0.55,0.36
300,32,26,32,0,0,0
301,54.2,4.6,17.1,27.8,9.5,0.72
302,67.5,10,17.5,42.5,7.5,0
303,21.7,1.67,3.33,11.7,6.67,3.33
304,55.1,8.86,27.1,27.7,0.29,0
305,71.3,4,13.3,36.7,21.3,4
306,115,0,10,45,65,15
307,48.1,1.45,10.5,28,10.4,0.72
308,66.1,0,4.55,24.3,38.2,4.55
309,60.3,3.42,17.9,31.1,12.4,0.53
310,68,1,10.5,29,29.5,4
311,49.1,9.09,33.5,13.8,2.12,1.21
312,54.5,0.68,7.09,27.8,20.8,2.97
313,39,0,2.4,20.9,16.1,2.8
314,85.7,0,11.4,57.1,18.6,0
315,34.3,0.56,4.89,14.9,15.8,2.33
316,67.2,10.4,37.2,27.4,3.26,0.87
317,60.1,10,32.4,27.5,0.9,0.75
318,59.5,2.89,17.4,25.1,17.9,2.21
319,50,6.67,10,23.3,20,0
320,63.3,8.97,32.4,28.9,2.14,0.48
321,48.5,0.91,6.91,23.5,18.7,4.91
322,31.1,0.27,2.7,11.6,17,2.97
323,60.9,10.1,35.3,23,2.83,1.82
324,36,2,11,17,8,1
